"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051082","MF","GO:0051082","unfolded protein binding",0.0869565217391304,0.0144448311869126,4.69055238419813e-05,0.00405122206931472,0.00334653699376953,"YLR259C/YJL014W/YDR212W/YDL143W/YJL117W/YML048W/YNL064C/YHR133C",8
"GO:0140142","MF","GO:0140142","nucleocytoplasmic carrier activity",0.0434782608695652,0.00243647754959972,5.45007453271038e-05,0.00405122206931472,0.00334653699376953,"YJR132W/YDR395W/YGL016W/YER110C",4
"GO:0015075","MF","GO:0015075","ion transmembrane transporter activity",0.141304347826087,0.0443786982248521,0.000184263548008633,0.0102726928014813,0.00848582128987126,"YML123C/YLR034C/YLR220W/YPL078C/YKL120W/YPR058W/YKL016C/YBR104W/YBR127C/YOR222W/YJR077C/YBR187W/YDR508C",13
"GO:0140104","MF","GO:0140104","molecular carrier activity",0.0434782608695652,0.00365471632439958,0.000299031753883004,0.013336816223182,0.0110169593535844,"YJR132W/YDR395W/YGL016W/YER110C",4
"GO:0015179","MF","GO:0015179","L-amino acid transmembrane transporter activity",0.0434782608695652,0.00400278454577097,0.000431717360354258,0.0134917226530371,0.0111449207660208,"YPR058W/YBR104W/YOR222W/YDR508C",4
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity",0.0652173913043478,0.0113122171945701,0.000552705936029664,0.0134917226530371,0.0111449207660208,"YKL120W/YPR058W/YBR104W/YOR222W/YOL092W/YDR508C",6
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity",0.0652173913043478,0.0114862513052558,0.000600235256365954,0.0134917226530371,0.0111449207660208,"YKL120W/YPR058W/YBR104W/YOR222W/YOL092W/YDR508C",6
"GO:0015171","MF","GO:0015171","amino acid transmembrane transporter activity",0.0543478260869565,0.00765750087017055,0.000625750387909418,0.0134917226530371,0.0111449207660208,"YPR058W/YBR104W/YOR222W/YOL092W/YDR508C",5
"GO:0016491","MF","GO:0016491","oxidoreductase activity",0.152173913043478,0.0579533588583362,0.000745530657892527,0.0134917226530371,0.0111449207660208,"YPR037C/YMR110C/YGL055W/YBR014C/YPL231W/YOR246C/YGR175C/YKL182W/YNL037C/YJL026W/YML075C/YER023W/YGL012W/YDL015C",14
"GO:0016628","MF","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",0.0326086956521739,0.00208840932822833,0.000787133368963393,0.0134917226530371,0.0111449207660208,"YKL182W/YGL012W/YDL015C",3
"GO:0008509","MF","GO:0008509","anion transmembrane transporter activity",0.0760869565217391,0.0167072746258267,0.000802900716578414,0.0134917226530371,0.0111449207660208,"YML123C/YKL120W/YPR058W/YBR104W/YOR222W/YJR077C/YDR508C",7
"GO:0008514","MF","GO:0008514","organic anion transmembrane transporter activity",0.0652173913043478,0.0121823877479986,0.000822922310416679,0.0134917226530371,0.0111449207660208,"YKL120W/YPR058W/YBR104W/YOR222W/YJR077C/YDR508C",6
"GO:0005215","MF","GO:0005215","transporter activity",0.173913043478261,0.0727462582666203,0.000847013978217577,0.0134917226530371,0.0111449207660208,"YML123C/YER039C/YLR034C/YLR220W/YPL078C/YKL120W/YPR058W/YKR003W/YKL016C/YBR104W/YBR127C/YOR222W/YJR077C/YOL092W/YBR187W/YDR508C",16
"GO:0022857","MF","GO:0022857","transmembrane transporter activity",0.16304347826087,0.0661329620605639,0.000915241701397232,0.0136065932941055,0.0112398103680362,"YML123C/YER039C/YLR034C/YLR220W/YPL078C/YKL120W/YPR058W/YKL016C/YBR104W/YBR127C/YOR222W/YJR077C/YOL092W/YBR187W/YDR508C",15
"GO:0008324","MF","GO:0008324","cation transmembrane transporter activity",0.108695652173913,0.0339366515837104,0.00102808235475492,0.0143288978193967,0.0118364744790863,"YML123C/YLR034C/YLR220W/YPL078C/YPR058W/YKL016C/YBR104W/YBR127C/YBR187W/YDR508C",10
"GO:0046915","MF","GO:0046915","transition metal ion transmembrane transporter activity",0.0434782608695652,0.00556909154194222,0.00157054221325944,0.0206018184445208,0.017018259276805,"YML123C/YLR034C/YLR220W/YBR187W",4
"GO:0015932","MF","GO:0015932","nucleobase-containing compound transmembrane transporter activity",0.0434782608695652,0.00643926209537069,0.00271396154265123,0.033506768559579,0.027678472966374,"YER039C/YKL120W/YOR222W/YJR077C",4
"GO:0015318","MF","GO:0015318","inorganic molecular entity transmembrane transporter activity",0.0978260869565217,0.0325443786982249,0.00285483678310315,0.033506768559579,0.027678472966374,"YML123C/YLR034C/YLR220W/YPL078C/YKL120W/YKL016C/YBR127C/YJR077C/YBR187W",9
"GO:1901505","MF","GO:1901505","carbohydrate derivative transmembrane transporter activity",0.0434782608695652,0.00696136442742778,0.0036208489173682,0.0403724654286555,0.0333499242389177,"YER039C/YKL120W/YOR222W/YJR077C",4
